_id,action,createdAt,details,targetId,targetType,userId
69801aa428500bcfc5096da4,APPROVE_LEAVE,2026-02-02 03:31:48.622000,Approved leave for employee,6980167b28500bcfc5096da2,LeaveRequest,697f4b0253061dbd6d878dec
69801aad28500bcfc5096da5,REJECT_LEAVE,2026-02-02 03:31:57.017000,Rejected leave for Employee. Reason: ป่วยไม่ได้ ห้ามป่วย,697f8ec6295e41bd00db4d4f,LeaveRequest,697f4b0253061dbd6d878dec
69801b3328500bcfc5096da6,APPROVE_LEAVE,2026-02-02 03:34:11.404000,Approved leave for employee,6978724f64060f654124767b,LeaveRequest,6977294f0c6001df4bf44c9a
69801b3b28500bcfc5096da7,REJECT_LEAVE,2026-02-02 03:34:19.267000,Rejected leave for employee. Reason: ไม่ให้ไป,697e3431e93e4270190207be,LeaveRequest,6977294f0c6001df4bf44c9a
69801c3028500bcfc5096daa,UPDATE_USER,2026-02-02 03:38:24.509000,Updated user adminDiww,69707172407a382db0243cb7,User,6977294f0c6001df4bf44c9a
69801c3428500bcfc5096dab,UPDATE_USER,2026-02-02 03:38:28.112000,Updated user adminDiw,69707172407a382db0243cb7,User,6977294f0c6001df4bf44c9a
69801d4928500bcfc5096dae,REJECT_LEAVE,2026-02-02 03:43:05.546000,Rejected leave for hrr. Reason: ไม่ให้ไป อย่าไป,69801ca728500bcfc5096dac,LeaveRequest,6977294f0c6001df4bf44c9a
69801ec028500bcfc5096db1,APPROVE_LEAVE,2026-02-02 03:49:20.895000,Approved leave for hrr,69801d9b28500bcfc5096daf,LeaveRequest,697f4b0253061dbd6d878dec
69803f7c21244b66d8f8b455,APPROVE_LEAVE,2026-02-02 06:09:00.877000,Approved leave for employee,6978443f443e0f60d0e15234,LeaveRequest,697f4b0253061dbd6d878dec
698490dca228a39e0201fbe3,APPROVE_LEAVE,2026-02-05 12:45:16.021000,Approved leave for hrr,69848e25a228a39e0201fbe1,LeaveRequest,6977294f0c6001df4bf44c9a
69849244a228a39e0201fbe8,APPROVE_LEAVE,2026-02-05 12:51:16.031000,Approved leave for hrr,6984922da228a39e0201fbe6,LeaveRequest,6977294f0c6001df4bf44c9a
69849546a228a39e0201fbeb,APPROVE_LEAVE,2026-02-05 13:04:06.627000,Approved leave for hrr,6984953ea228a39e0201fbe9,LeaveRequest,6977294f0c6001df4bf44c9a
6984957aa228a39e0201fbee,APPROVE_LEAVE,2026-02-05 13:04:58.935000,Approved leave for hrr,69849571a228a39e0201fbec,LeaveRequest,6977294f0c6001df4bf44c9a
69849d28a228a39e0201fbef,APPROVE_LEAVE,2026-02-05 13:37:44.408000,Approved leave for hrr,6984922ca228a39e0201fbe4,LeaveRequest,6977294f0c6001df4bf44c9a
69849d2ca228a39e0201fbf0,APPROVE_LEAVE,2026-02-05 13:37:48.365000,Approved leave for manager,69848c9ea228a39e0201fbdf,LeaveRequest,6977294f0c6001df4bf44c9a
69849d2fa228a39e0201fbf1,APPROVE_LEAVE,2026-02-05 13:37:51.432000,Approved leave for manager,698023b928500bcfc5096db2,LeaveRequest,6977294f0c6001df4bf44c9a
6984a613a228a39e0201fbf6,APPROVE_LEAVE,2026-02-05 14:15:47.701000,Approved leave for employee,6984a3faa228a39e0201fbf2,LeaveRequest,6977294f0c6001df4bf44c9a
6984a618a228a39e0201fbf7,APPROVE_LEAVE,2026-02-05 14:15:52.915000,Approved leave for employee,6984a41ea228a39e0201fbf4,LeaveRequest,6977294f0c6001df4bf44c9a
6984a78ea228a39e0201fbfa,APPROVE_LEAVE,2026-02-05 14:22:06.069000,Approved leave for employee,6984a777a228a39e0201fbf8,LeaveRequest,6977294f0c6001df4bf44c9a
6984abaa7849100ffea2fc78,APPROVE_LEAVE,2026-02-05 14:39:38.506000,Approved leave for manager,6984a961a228a39e0201fbfb,LeaveRequest,6977294f0c6001df4bf44c9a
6984abae7849100ffea2fc79,APPROVE_LEAVE,2026-02-05 14:39:42.806000,Approved leave for manager,6984a97fa228a39e0201fbff,LeaveRequest,6977294f0c6001df4bf44c9a
6984abb17849100ffea2fc7a,APPROVE_LEAVE,2026-02-05 14:39:45.403000,Approved leave for manager,6984a96fa228a39e0201fbfd,LeaveRequest,6977294f0c6001df4bf44c9a
